CAMS 1605 Ozone Summary Report for 2018
St. Edwards University C1605 - EPA Site: 48_453_1605
Ozone (POC 1) measured in parts per billion
Data from this instrument does not meet EPA quality assurance criteria and cannot be used for regulatory purposes.
Central Standard Time
Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
07/12/2018,14,9,5,2,1,1,5,9,12,17,21,26,27,29,31,32,33,32,30,27,23,19,16,12
07/13/2018,12,10,10,9,8,3,5,7,12,16,21,25,24,26,25,27,30,30,27,24,21,19,16,12
07/14/2018,10,9,9,9,7,4,5,9,13,16,22,23,25,29,28,28,30,30,29,25,21,18,15,13
07/15/2018,12,11,10,11,9,8,8,10,14,17,19,26,26,26,26,26,25,24,24,23,19,16,14,13
07/16/2018,12,11,11,10,8,5,6,9,14,18,24,28,29,31,29,28,29,27,26,23,23,21,16,12
07/17/2018,9,6,4,2,6,6,5,7,12,16,22,28,34,38,33,31,29,29,30,27,25,24,21,15
07/18/2018,12,9,6,4,4,8,5,7,13,21,28,38,45,49,46,38,38,36,33,29,28,25,22,18
07/19/2018,15,11,9,6,5,2,3,6,8,12,22,30,34,37,37,37,36,35,35,31,28,26,21,17
07/20/2018,14,11,10,8,5,3,3,8,13,18,25,35,35,36,37,36,36,37,35,29,29,28,23,17
07/21/2018,14,11,8,7,5,2,4,9,12,16,25,32,31,32,31,32,36,38,36,32,28,28,22,16
07/22/2018,14,10,8,10,8,7,6,8,12,17,21,29,38,44,43,44,41,37,33,30,27,26,21,16
07/23/2018,12,9,5,10,9,7,5,11,19,26,31,38,44,53,58,64,66,61,53,49,38,33,29,26
07/24/2018,23,21,15,17,25,19,16,30,39,45,45,47,51,54,56,56,56,52,48,46,42,42,43,38
07/25/2018,32,26,23,18,14,6,8,19,44,61,59,59,61,63,67,68,68,68,65,59,52,49,47,45
07/26/2018,40,35,30,37,36,34,25,33,45,56,62,64,64,66,64,63,62,63,62,58,52,48,48,47
07/27/2018,42,40,38,38,36,34,30,32,43,58,65,66,62,58,56,57,60,64,56,49,45,44,43,38
07/28/2018,32,28,27,21,22,19,18,21,22,26,35,39,36,40,42,43,43,42,41,39,38,32,18,13
07/29/2018,11,9,8,6,5,7,7,10,13,22,30,39,44,42,40,40,40,41,40,36,30,27,18,13
07/30/2018,12,12,10,7,3,5,6,10,14,21,29,33,40,44,47,54,56,56,54,53,43,36,32,26
07/31/2018,19,16,12,11,6,2,4,14,21,29,39,44,63,77,79,73,68,66,69,69,62,50,42,39
08/01/2018,37,34,35,33,33,39,34,39,43,49,56,64,69,69,69,66,65,65,63,54,46,40,38,30
08/02/2018,35,44,35,34,13,4,4,14,37,57,64,67,73,76,77,73,73,47,60,58,56,55,54,54
08/03/2018,49,47,44,44,33,24,13,35,44,53,58,60,64,63,66,71,68,65,59,56,52,44,40,37
08/04/2018,34,31,29,27,24,20,20,23,25,28,31,32,32,35,35,36,39,36,32,28,21,18,16,17
08/05/2018,16,15,14,13,12,10,10,13,19,23,26,27,29,29,26,28,30,29,28,26,24,23,19,18
08/06/2018,19,19,18,15,12,10,8,16,23,26,29,30,33,34,35,36,32,30,30,31,27,22,19,15
08/07/2018,14,13,12,11,8,6,7,13,19,24,27,28,30,32,36,37,36,33,32,28,25,21,18,15
08/08/2018,12,12,11,12,11,9,10,13,18,24,30,33,34,35,35,36,37,36,39,36,30,23,22,20
08/09/2018,18,17,16,17,8,10,12,16,17,22,29,35,44,43,38,38,39,38,37,31,24,20,16,15
08/10/2018,15,15,14,13,11,8,7,11,13,21,27,34,33,50,56,52,48,41,36,33,27,18,16,14
08/11/2018,25,28,25,18,15,14,10,9,11,15,22,31,36,38,39,37,24,23,19,12,13,13,2,3
08/12/2018,3,8,9,8,9,8,9,11,15,18,19,23,27,24,23,23,22,21,20,16,14,12,8,6
08/13/2018,5,4,4,7,7,8,7,10,13,16,19,23,24,25,25,26,27,24,22,19,16,14,12,10
08/14/2018,9,8,9,8,6,4,3,6,10,13,18,23,26,26,28,29,30,28,26,22,19,17,16,13
08/15/2018,12,10,11,10,9,5,5,8,15,20,24,27,31,33,32,32,34,35,32,27,23,17,13,11
